PERIODO,CVE_ENT,ENTIDAD,VALOR_USD
2007-01-01,23,Quintana Roo,22187553
2007-01-01,24,San Luis Potosí,167335736
2007-01-01,25,Sinaloa,123166926
2007-01-01,26,Sonora,77432101
2007-01-01,27,Tabasco,41390430
2007-01-01,28,Tamaulipas,113488172
2007-01-01,29,Tlaxcala,61372754
2007-01-01,30,Veracruz,392472506
2007-01-01,31,Yucatán,31343079
2007-01-01,32,Zacatecas,158642937
2007-04-01,1,Aguascalientes,100299043
2007-04-01,2,Baja California,87654229
2007-04-01,3,Baja California Sur,8072406
2007-04-01,4,Campeche,21294133
2007-04-01,5,Coahuila,79453257
2007-04-01,6,Colima,55696879
2007-04-01,7,Chiapas,246001372
2007-04-01,8,Chihuahua,116416843
2007-04-01,9,Ciudad de México,272617807
2007-04-01,10,Durango,120363691
2007-04-01,11,Guanajuato,665164216
2007-04-01,12,Guerrero,392613644
2007-04-01,13,Hidalgo,302625934
2007-04-01,14,Jalisco,525775239
2007-04-01,15,Estado de México,568563694
2007-04-01,16,Michoacán,651665759
2007-04-01,17,Morelos,165710215
2007-04-01,18,Nayarit,97031933
2007-04-01,19,Nuevo León,86856131
2007-04-01,20,Oaxaca,399622688
2007-04-01,21,Puebla,426375940
2007-04-01,22,Querétaro,130823934
2007-04-01,23,Quintana Roo,25537167
2007-04-01,24,San Luis Potosí,210455407
2007-04-01,25,Sinaloa,140355366
2007-04-01,26,Sonora,92567064
2007-04-01,27,Tabasco,49069643
2007-04-01,28,Tamaulipas,142433333
2007-04-01,29,Tlaxcala,79278496
2007-04-01,30,Veracruz,466633690
2007-04-01,31,Yucatán,34683462
2007-04-01,32,Zacatecas,186083215
2007-07-01,1,Aguascalientes,99336051
2007-07-01,2,Baja California,93981136
2007-07-01,3,Baja California Sur,9133250
2007-07-01,4,Campeche,22401843
2007-07-01,5,Coahuila,80271708
2007-07-01,6,Colima,53388231
2007-07-01,7,Chiapas,265023110
2007-07-01,8,Chihuahua,127024144
2007-07-01,9,Ciudad de México,286413680
2007-07-01,10,Durango,125065992
2007-07-01,11,Guanajuato,672810896
2007-07-01,12,Guerrero,406162238
2007-07-01,13,Hidalgo,310081199
2007-07-01,14,Jalisco,533096166
2007-07-01,15,Estado de México,612790468
2007-07-01,16,Michoacán,662763942
2007-07-01,17,Morelos,174459604
2007-07-01,18,Nayarit,107025294
2007-07-01,19,Nuevo León,89415634
2007-07-01,20,Oaxaca,442815280
2007-07-01,21,Puebla,451806531
2007-07-01,22,Querétaro,135502423
2007-07-01,23,Quintana Roo,27664307
2007-07-01,24,San Luis Potosí,221100678
2007-07-01,25,Sinaloa,140048222
2007-07-01,26,Sonora,90775756
2007-07-01,27,Tabasco,51784984
2007-07-01,28,Tamaulipas,144922050
2007-07-01,29,Tlaxcala,91036855
2007-07-01,30,Veracruz,514429376
2007-07-01,31,Yucatán,37747781
2007-07-01,32,Zacatecas,188237220
2007-10-01,1,Aguascalientes,87466665
2007-10-01,2,Baja California,85213796
2007-10-01,3,Baja California Sur,8641441
2007-10-01,4,Campeche,20346068
2007-10-01,5,Coahuila,74067436
2007-10-01,6,Colima,47302908
